feature,importance
stscd,0.2740610088104669
stocn,0.24415830755445414
conam,0.0901275543158753
cano_count,0.06739030060473673
scity,0.053546211995110185
csmam,0.04650042623740303
mcc,0.04597473923832711
acqic,0.03508330227629792
loctm,0.03467293444764513
cano,0.033634462569889174
csmcu,0.02091565909551631
mchno,0.019543981020038174
freq_perday,0.009951314991119587
etymd,0.005956073642529628
diff_conam,0.005607806242455597
hcefg,0.005002036713343838
is_city_first_appearance,0.0028727834509508815
ecfg,0.0027665520738802667
Is_First_Occurrence,0.0008186539562764635
is_csmcu_first_appearance,0.0007669872602936745
contp,0.0004837137716163263
flg_3dsmk,0.00015585256102054613
ovrlt,9.337170753136093e-06
