feature,importance
stocn,0.14523952533682094
stscd,0.14320006979282823
conam,0.08888604635573599
scity,0.07787412209137713
csmam,0.0662373795826971
csmcu,0.06444707832854071
mcc,0.05789904145067832
loctm,0.05622057491877419
acqic,0.05105568686834859
cano,0.04784035285673048
cano_count,0.0452699952747424
mchno,0.04435271303546188
etymd,0.020755662498438618
freq_perday,0.01905637602346339
diff_conam,0.01608771445185716
ecfg,0.011612790553746324
hcefg,0.011242913517497427
Is_First_Occurrence,0.008653409566995453
is_city_first_appearance,0.008445875101538906
is_csmcu_first_appearance,0.007079140336446051
contp,0.0042233586243731
flg_3dsmk,0.0030944008040699367
ovrlt,0.001225772628837549
